year,linear,ridge,lasso,forest
1998,3.945677213,3.945556849,3.881945559,4.477230736
1999,11.96117362,11.96092709,13.52160032,11.86896951
2000,12.18379485,12.18364023,10.79987917,8.223327833
2001,9.793022793,9.791808527,9.971491267,10.34121569
2002,5.993249445,5.995407589,5.888905493,6.34145238
2003,7.780117067,7.780014067,6.298693193,6.355769522
2004,9.497762333,9.485172407,9.469092013,9.472768527
2005,10.72462569,10.89598949,10.82398189,11.38289133
2006,11.58570399,11.49028807,11.49032306,11.11042813
average,9.273903001,9.280978257,9.127323553,8.841561518
