year,linear,ridge,lasso,forest
1998,3.95,3.95,3.88,4.48
1999,11.96,11.96,13.52,11.87
2000,12.18,12.18,10.80,8.22
2001,9.79,9.79,9.97,10.34
2002,5.99,6.00,5.89,6.34
2003,7.78,7.78,6.30,6.36
2004,9.50,9.49,9.47,9.47
2005,10.72,10.90,10.82,11.38
2006,11.59,11.49,11.49,11.11
