filename,CENTRAL INDEX KEY:
69562K100-10-K-2002-03-22.txt,0001069530
685932105-10-K-2002-06-28.txt,0001041122
885218107-10-K-2002-03-27.txt,0000892535
51807U101-10-K-2002-06-21.txt,0000030140
05367L802-10-K-2002-03-27.txt,0001094895
554153106-10-K-2002-03-29.txt,0001038280
72346N101-10-K-2002-04-16.txt,0001058986
81684P107-10-K-2002-07-01.txt,0000832370
014384200-10-K-2002-04-09.txt,0000902272
320103104-10-K-2002-03-22.txt,0000808246
34629U103-10-K-2002-10-29.txt,0000884144
671040103-10-K-2002-12-12.txt,0000729922
741929103-10-K-2002-04-16.txt,0001006837
589400100-10-K-2002-03-27.txt,0000064996
69344F106-10-K-2002-03-28.txt,0000767920
109704106-10-K-2002-05-21.txt,0001056294
862685104-10-K-2002-03-25.txt,0000915735
266605104-10-K-2002-03-28.txt,0001082038
76122Q105-10-K-2002-08-23.txt,0001084765
402040109-10-K-2002-03-27.txt,0001021113
643872104-10-K-2002-09-06.txt,0000205700
313148108-10-K-2002-03-27.txt,0000845877
852061100-10-K-2002-03-04.txt,0000101830
514756105-10-K-2002-03-29.txt,0001058177
730026101-10-K-2002-03-07.txt,0000079225
040712101-10-K-2002-12-27.txt,0000779544
03073H108-10-K-2002-09-30.txt,0001064015
909218109-10-K-2002-03-08.txt,0000798949
92227P108-10-K-2002-04-01.txt,0000874786
68749B603-10-K-2002-04-15.txt,0000889992
902925106-10-K-2002-03-22.txt,0000883945
008252108-10-K-2002-04-01.txt,0001004434
462628108-10-K-2002-04-01.txt,0001099795
701081101-10-K-2002-03-18.txt,0000076321
141726109-10-K-2002-03-26.txt,0001108782
285562500-10-K-2002-12-27.txt,0000721773
233343102-10-K-2002-10-15.txt,0000801550
553530106-10-K-2002-11-26.txt,0001003078
149507105-10-K-2002-03-25.txt,0000789863
132011107-10-K-2002-03-22.txt,0000820081
232824300-10-K-2002-03-28.txt,0000725058
42805E108-10-K-2002-04-01.txt,0001038133
442487203-10-K-2002-01-22.txt,0000357294
228890109-10-K-2002-12-19.txt,0000098544
615394202-10-K-2002-12-16.txt,0000067887
338494107-10-K-2002-04-19.txt,0000799526
