,MSE,MBE,R^2
10,-61.17343199508933,-6.2162502008277265,-0.04247860566372539
30,-63.25646555474159,-6.216346756197195,-0.09590205370121249
50,-64.73040839967351,-6.309064357829068,-0.1227809177951047
70,-65.87880064038123,-6.2768401964824525,-0.14464447449746778
